product_id,sku,product_name,category,subcategory,brand,unit_price,cost_price,quantity_on_hand,reorder_level,reorder_quantity,warehouse_location,supplier_id,supplier_name,last_restocked_date,expiry_date,weight_kg,status
PROD-1073,SKU-47667,TopShelf Fitness Basic,Sports,Fitness,TopShelf,246.63,118.92,740,121,150,WH-EAST-01,SUP-002,Pacific Trading Ltd,2025-03-30,,4.2,discontinued
PROD-1065,SKU-57419,RapidFlow Fitness Plus,Sports,Fitness,RapidFlow,291.59,207.8,4083,170,502,WH-EAST-01,SUP-008,Fresh Farm Direct,2024-07-27,,6.71,active
PROD-1113,SKU-68222,BrightStar Canned Goods Plus,Grocery,Canned Goods,BrightStar,389.11,183.42,2334,124,289,WH-CENTRAL-01,SUP-007,Eastern Markets Corp,2024-09-01,2026-06-08,24.14,discontinued
PROD-1115,SKU-26341,RapidFlow Lighting Elite,Home & Garden,Lighting,RapidFlow,657.86,356.28,687,51,329,WH-WEST-02,SUP-002,Pacific Trading Ltd,2025-06-09,,3.73,discontinued
PROD-1091,SKU-66387,TopShelf Footwear Pro,Clothing,Footwear,TopShelf,272.79,148.86,937,177,716,WH-CENTRAL-01,SUP-009,TechSource Partners,2026-01-08,,21.64,discontinued
PROD-1071,SKU-23154,BrightStar Canned Goods Standard,Grocery,Canned Goods,BrightStar,490.85,252.14,816,144,982,WH-WEST-02,SUP-003,Atlantic Distributors,2024-01-16,2027-01-05,3.65,out_of_stock
PROD-1068,SKU-19150,GlobeMax Canned Goods Elite,Grocery,Canned Goods,GlobeMax,596.19,255.1,3399,97,856,WH-CENTRAL-01,SUP-010,Heritage Brands Co,2024-09-30,2027-02-25,0.11,out_of_stock
PROD-1099,SKU-61807,PrimePick Accessories Plus,CLOTHING,Accessories,PrimePick,404.86,334.23,448,11,259,WH-WEST-01,SUP-009,TechSource Partners,2024-08-04,,19.2,discontinued
PROD-1098,SKU-67939,IronClad Smartphones Standard,Electronics,Smartphones,IronClad,598.84,331.65,2237,65,823,WH-CENTRAL-01,SUP-008,Fresh Farm Direct,2024-04-26,,8.66,active
PROD-1021,SKU-62923,CoreTech Laptops Pro,Electronics,Laptops,CoreTech,82.91,35.84,4666,73,642,WH-CENTRAL-01,SUP-010,Heritage Brands Co,2024-02-10,,15.5,discontinued
PROD-1036,SKU-19545,BrightStar Dairy Standard,Grocery,Dairy,BrightStar,971.81,492.0,3395,171,639,WH-EAST-02,SUP-004,Midwest Wholesale Inc,2026-01-05,2026-12-23,9.63,discontinued
PROD-1034,SKU-47606,JustRight Cycling Basic,Sports,Cycling,JustRight,316.25,274.87,3521,158,671,WH-WEST-01,SUP-007,Eastern Markets Corp,2025-04-21,,11.07,out_of_stock
