trade_id,customer_id,trade_date,settlement_date,symbol,security_name,asset_class,trade_type,quantity,price,total_amount,currency,exchange,order_type,status,broker_id,account_type,commission,fees,net_amount
TRD00001,CUST003,2024-11-01,2024-11-03,AAPL,Apple Inc,Equity,BUY,150,178.52,26778.00,USD,NASDAQ,Market,Settled,BRK001,Joint,26.78,5.00,26809.78
TRD00002,CUST017,2024-11-01,2024-11-03,MSFT,Microsoft Corp,Equity,BUY,80,375.20,30016.00,USD,NASDAQ,Limit,Settled,BRK002,Individual,30.02,5.00,30051.02
TRD00003,CUST005,2024-11-02,2024-11-04,AMZN,Amazon.com Inc,Equity,SELL,45,147.85,6653.25,USD,NASDAQ,Market,Settled,BRK001,Individual,6.65,5.00,6641.60
TRD00004,CUST031,2024-11-02,2024-11-04,GOOGL,Alphabet Inc,Equity,BUY,200,139.60,27920.00,USD,NASDAQ,Limit,Settled,BRK003,Trust,27.92,5.00,27952.92
TRD00005,CUST011,2024-11-03,2024-11-05,TSLA,Tesla Inc,Equity,BUY,100,242.10,24210.00,USD,NASDAQ,Market,Settled,BRK002,Individual,24.21,5.00,24239.21
TRD00006,CUST008,2024-11-03,2024-11-05,NVDA,NVIDIA Corp,Equity,SELL,60,485.30,29118.00,USD,NASDAQ,Stop,Settled,BRK001,Individual,29.12,5.00,29083.88
TRD00007,CUST021,2024-11-04,2024-11-06,JPM,JPMorgan Chase,Equity,BUY,120,158.75,19050.00,USD,NYSE,Market,Settled,BRK003,Individual,19.05,5.00,19074.05
TRD00008,CUST027,2024-11-04,2024-11-06,V,Visa Inc,Equity,BUY,75,262.40,19680.00,USD,NYSE,Limit,Settled,BRK002,Joint,19.68,5.00,19704.68
TRD00009,CUST013,2024-11-05,2024-11-07,BRK.B,Berkshire Hathaway B,Equity,SELL,50,365.80,18290.00,USD,NYSE,Market,Settled,BRK001,Trust,18.29,5.00,18266.71
TRD00010,CUST041,2024-11-05,2024-11-07,UNH,UnitedHealth Group,Equity,BUY,40,552.15,22086.00,USD,NYSE,Market,Settled,BRK003,Trust,22.09,5.00,22113.09
TRD00011,CUST002,2024-11-06,2024-11-08,META,Meta Platforms,Equity,BUY,55,330.25,18163.75,USD,NASDAQ,Limit,Settled,BRK001,Individual,18.16,5.00,18186.91
TRD00012,CUST037,2024-11-06,2024-11-08,XOM,Exxon Mobil,Equity,BUY,200,108.90,21780.00,USD,NYSE,Market,Settled,BRK002,Individual,21.78,5.00,21806.78
TRD00013,CUST015,2024-11-07,2024-11-09,LLY,Eli Lilly,Equity,SELL,30,598.40,17952.00,USD,NYSE,Stop,Settled,BRK003,Joint,17.95,5.00,17929.05
TRD00014,CUST009,2024-11-07,2024-11-09,AGG,iShares Core US Agg Bond,Fixed Income,BUY,500,97.25,48625.00,USD,NYSE,Market,Settled,BRK001,Joint,48.63,5.00,48678.63
TRD00015,CUST023,2024-11-08,2024-11-12,TLT,iShares 20+ Year Treasury,Fixed Income,BUY,300,92.80,27840.00,USD,NASDAQ,Limit,Settled,BRK002,Trust,27.84,5.00,27872.84
TRD00016,CUST045,2024-11-08,2024-11-12,VTI,Vanguard Total Stock Market,ETF,BUY,180,232.50,41850.00,USD,NYSE,Market,Settled,BRK003,Joint,41.85,5.00,41896.85
TRD00017,CUST001,2024-11-09,2024-11-13,SPY,SPDR S&P 500 ETF,ETF,BUY,100,452.30,45230.00,USD,NYSE,Market,Settled,BRK001,Individual,45.23,5.00,45280.23
TRD00018,CUST033,2024-11-09,2024-11-13,QQQ,Invesco QQQ Trust,ETF,SELL,85,385.60,32776.00,USD,NASDAQ,Limit,Settled,BRK002,Joint,32.78,5.00,32738.22
TRD00019,CUST019,2024-11-10,2024-11-14,GLD,SPDR Gold Shares,Commodity,BUY,150,188.45,28267.50,USD,NYSE,Market,Settled,BRK003,Joint,28.27,5.00,28300.77
TRD00020,CUST047,2024-11-10,2024-11-14,SLV,iShares Silver Trust,Commodity,BUY,400,22.15,8860.00,USD,NYSE,Limit,Settled,BRK001,Individual,8.86,5.00,8873.86
TRD00021,CUST006,2024-11-11,2024-11-13,JNJ,Johnson & Johnson,Equity,BUY,90,155.20,13968.00,USD,NYSE,Market,Settled,BRK002,Individual,13.97,5.00,13986.97
TRD00022,CUST024,2024-11-11,2024-11-13,PG,Procter & Gamble,Equity,BUY,65,152.80,9932.00,USD,NYSE,Limit,Settled,BRK003,Individual,9.93,5.00,9946.93
