entity_id,fiscal_period_id,fiscal_year,total_assets,total_liabilities,total_equity,cash_and_equivalents,total_debt,currency,value_usd_total_assets
AAPL-US,AAPL-US_FY2023_A,2023,539628.3,316641.4,222986.9,86340.5,205147.9,USD,539628.3
AAPL-US,AAPL-US_FY2024_A,2024,406676.4,232883.1,173793.3,73201.8,145986.4,USD,406676.4
AAPL-US,AAPL-US_FY2025_A,2025,414497.1,197482.9,217014.2,132639.1,88975.8,USD,414497.1
MSFT-US,MSFT-US_FY2023_A,2023,328463.5,189871.3,138592.2,59123.4,120575.2,USD,328463.5
MSFT-US,MSFT-US_FY2024_A,2024,272085.4,141901.0,130184.4,78904.8,76808.8,USD,272085.4
MSFT-US,MSFT-US_FY2025_A,2025,237768.3,125081.9,112686.4,49931.4,68738.7,USD,237768.3
GOOGL-US,GOOGL-US_FY2023_A,2023,462023.8,243055.2,218968.6,120126.2,133570.9,USD,462023.8
GOOGL-US,GOOGL-US_FY2024_A,2024,357018.4,206377.7,150640.7,85684.4,131057.4,USD,357018.4
GOOGL-US,GOOGL-US_FY2025_A,2025,483024.8,248546.8,234478.1,164228.4,131307.7,USD,483024.8
AMZN-US,AMZN-US_FY2023_A,2023,950615.5,502212.0,448403.6,199629.3,278010.2,USD,950615.5
AMZN-US,AMZN-US_FY2024_A,2024,682656.8,368068.4,314588.4,232103.3,210774.2,USD,682656.8
AMZN-US,AMZN-US_FY2025_A,2025,874055.9,503693.2,370362.7,157330.1,318511.9,USD,874055.9
META-US,META-US_FY2023_A,2023,161415.8,89675.4,71740.4,51653.1,53805.3,USD,161415.8
META-US,META-US_FY2024_A,2024,196004.9,91189.4,104815.5,62721.6,38781.7,USD,196004.9
META-US,META-US_FY2025_A,2025,230594.0,115297.0,115297.0,69178.2,57648.5,USD,230594.0
NVDA-US,NVDA-US_FY2023_A,2023,129192.0,76026.6,53165.4,23254.6,49443.9,USD,129192.0
NVDA-US,NVDA-US_FY2024_A,2024,144851.7,85968.9,58882.8,27521.8,56527.5,USD,144851.7
NVDA-US,NVDA-US_FY2025_A,2025,146156.6,74511.2,71645.4,23385.1,38688.5,USD,146156.6
TSM-US,TSM-US_FY2023_A,2023,1815862.4,971275.3,844587.2,363172.5,548981.7,TWD,56291.7
TSM-US,TSM-US_FY2024_A,2024,3242611.5,1668528.2,1574083.3,518817.8,881486.6,TWD,100521.0
TSM-US,TSM-US_FY2025_A,2025,3134524.4,1823007.9,1311516.5,877666.8,1167249.7,TWD,97170.3
ORCL-US,ORCL-US_FY2023_A,2023,75694.5,35855.3,39839.2,15895.8,15935.7,USD,75694.5
ORCL-US,ORCL-US_FY2024_A,2024,77376.6,43587.7,33788.9,13927.8,26693.2,USD,77376.6
ORCL-US,ORCL-US_FY2025_A,2025,72330.3,38050.5,34279.8,10849.5,20910.7,USD,72330.3
CRM-US,CRM-US_FY2023_A,2023,32580.2,16125.6,16454.7,10425.7,7898.2,USD,32580.2
CRM-US,CRM-US_FY2024_A,2024,44703.1,25351.1,19352.0,11622.8,15675.1,USD,44703.1
CRM-US,CRM-US_FY2025_A,2025,33337.9,16669.0,16669.0,7001.0,8334.5,USD,33337.9
ADBE-US,ADBE-US_FY2023_A,2023,17849.1,9308.9,8540.3,5533.2,5038.8,USD,17849.1
ADBE-US,ADBE-US_FY2024_A,2024,24085.6,11274.1,12811.5,7948.2,4868.4,USD,24085.6
ADBE-US,ADBE-US_FY2025_A,2025,26236.1,11741.0,14495.1,6559.0,4493.5,USD,26236.1
JPM-US,JPM-US_FY2023_A,2023,1317792.0,1015546.1,302245.9,118601.3,864423.2,USD,1317792.0
