entity_id,price_date,close_price,volume,market_cap,currency
AAPL-US,2024-12-09,103.24,43177334,391035.0,USD
AAPL-US,2024-12-10,103.56,47037366,391035.0,USD
AAPL-US,2024-12-11,106.32,598115,391035.0,USD
AAPL-US,2024-12-12,103.62,44610914,391035.0,USD
AAPL-US,2024-12-13,101.84,21136689,391035.0,USD
AAPL-US,2024-12-16,103.63,7475900,391035.0,USD
AAPL-US,2024-12-17,104.89,28673364,391035.0,USD
AAPL-US,2024-12-18,109.24,33519498,391035.0,USD
AAPL-US,2024-12-19,113.54,10054522,391035.0,USD
AAPL-US,2024-12-20,112.47,48258189,391035.0,USD
AAPL-US,2024-12-23,112.41,16033861,391035.0,USD
AAPL-US,2024-12-24,112.94,35380450,391035.0,USD
AAPL-US,2024-12-25,109.9,31266597,391035.0,USD
AAPL-US,2024-12-26,111.75,6197704,391035.0,USD
AAPL-US,2024-12-27,110.04,43262820,391035.0,USD
AAPL-US,2024-12-30,109.13,26964467,391035.0,USD
AAPL-US,2024-12-31,111.05,29691206,391035.0,USD
AAPL-US,2025-01-01,112.06,44955859,391035.0,USD
AAPL-US,2025-01-02,113.3,18014805,391035.0,USD
AAPL-US,2025-01-03,113.05,21639890,391035.0,USD
AAPL-US,2025-01-06,114.6,49848695,391035.0,USD
AAPL-US,2025-01-07,113.87,22394372,391035.0,USD
AAPL-US,2025-01-08,113.34,5512188,391035.0,USD
AAPL-US,2025-01-09,114.6,14103814,391035.0,USD
AAPL-US,2025-01-10,116.57,7813043,391035.0,USD
AAPL-US,2025-01-13,118.87,10929425,391035.0,USD
AAPL-US,2025-01-14,120.44,21574417,391035.0,USD
AAPL-US,2025-01-15,121.69,27780595,391035.0,USD
AAPL-US,2025-01-16,122.98,14434231,391035.0,USD
AAPL-US,2025-01-17,124.21,30827641,391035.0,USD
AAPL-US,2025-01-20,123.72,8547262,391035.0,USD
AAPL-US,2025-01-21,125.12,6568043,391035.0,USD
AAPL-US,2025-01-22,126.72,47791938,391035.0,USD
AAPL-US,2025-01-23,129.18,47266689,391035.0,USD
AAPL-US,2025-01-24,128.15,22497860,391035.0,USD
