entity_id,fiscal_period_id,fiscal_year,operating_cash_flow,capital_expenditure,free_cash_flow,dividends_paid,share_buybacks,currency,value_usd_fcf,load_timestamp
AAPL-US,AAPL-US_FY2023_A,2023,113400.1,23462.1,89938.0,15641.4,27372.5,USD,89938.0,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2024_A,2024,46924.2,31282.8,15641.4,11731.0,23462.1,USD,15641.4,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2025_A,2025,113400.1,43013.8,70386.3,7820.7,27372.5,USD,70386.3,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2023_A,2023,34317.1,26963.4,7353.7,12256.1,7353.7,USD,7353.7,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2024_A,2024,49024.4,26963.4,22061.0,12256.1,17158.5,USD,22061.0,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2025_A,2025,68634.2,7353.7,61280.5,7353.7,2451.2,USD,61280.5,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2023_A,2023,105005.4,21001.1,84004.3,17500.9,14000.7,USD,84004.3,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2024_A,2024,70003.6,38502.0,31501.6,14000.7,14000.7,USD,31501.6,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2025_A,2025,49002.5,14000.7,35001.8,7000.4,14000.7,USD,35001.8,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2023_A,2023,95699.6,31899.9,63799.7,25519.9,38279.8,USD,63799.7,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2024_A,2024,133979.4,63799.7,70179.7,12759.9,44659.8,USD,70179.7,2026-03-04T23:00:00Z
AMZN-US,AMZN-US_FY2025_A,2025,178639.2,63799.7,114839.5,19139.9,6380.0,USD,114839.5,2026-03-04T23:00:00Z
META-US,META-US_FY2023_A,2023,37883.3,8235.5,29647.8,3294.2,4941.3,USD,29647.8,2026-03-04T23:00:00Z
META-US,META-US_FY2024_A,2024,24706.5,8235.5,16471.0,3294.2,9882.6,USD,16471.0,2026-03-04T23:00:00Z
META-US,META-US_FY2025_A,2025,47765.9,9882.6,37883.3,6588.4,0.0,USD,37883.3,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2023_A,2023,30014.3,11744.7,18269.6,1305.0,1305.0,USD,18269.6,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2024_A,2024,20879.5,9134.8,11744.7,3914.9,9134.8,USD,11744.7,2026-03-04T23:00:00Z
NVDA-US,NVDA-US_FY2025_A,2025,31319.3,7829.8,23489.5,1305.0,9134.8,USD,23489.5,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2023_A,2023,345878.6,194556.7,151321.9,43234.8,21617.4,TWD,4691.0,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2024_A,2024,281026.3,216174.1,64852.2,64852.2,64852.2,TWD,2010.4,2026-03-04T23:00:00Z
TSM-US,TSM-US_FY2025_A,2025,453965.6,151321.9,302643.7,64852.2,108087.1,TWD,9382.0,2026-03-04T23:00:00Z
ORCL-US,ORCL-US_FY2023_A,2023,7849.8,2803.5,5046.3,2242.8,3924.9,USD,5046.3,2026-03-04T23:00:00Z
ORCL-US,ORCL-US_FY2024_A,2024,6728.4,3924.9,2803.5,2242.8,560.7,USD,2803.5,2026-03-04T23:00:00Z
ORCL-US,ORCL-US_FY2025_A,2025,11774.7,2242.8,9531.9,1682.1,2242.8,USD,9531.9,2026-03-04T23:00:00Z
CRM-US,CRM-US_FY2023_A,2023,7955.6,1515.4,6440.3,757.7,1515.4,USD,6440.3,2026-03-04T23:00:00Z
CRM-US,CRM-US_FY2024_A,2024,4546.1,1894.2,2651.9,1136.5,378.8,USD,2651.9,2026-03-04T23:00:00Z
CRM-US,CRM-US_FY2025_A,2025,7576.8,3788.4,3788.4,1136.5,1515.4,USD,3788.4,2026-03-04T23:00:00Z
ADBE-US,ADBE-US_FY2023_A,2023,4086.0,860.2,3225.8,645.1,1290.3,USD,3225.8,2026-03-04T23:00:00Z
ADBE-US,ADBE-US_FY2024_A,2024,5161.2,1505.4,3655.8,860.2,1290.3,USD,3655.8,2026-03-04T23:00:00Z
