order_id,customer_id,order_date,product_name,category,quantity,unit_price,discount_pct,revenue,status,region
ORD-00114,CUST-022,2025-08-11,Webcam HD,Electronics,14,64.22,0.15,764.22,Completed,East
ORD-00130,CUST-047,2025-08-02,Desk Lamp LED,Furniture,10,37.23,0.25,279.22,Completed,South
ORD-00117,CUST-039,2024-10-20,Conference Table,Furniture,9,843.7,0.1,6833.97,Completed,East
ORD-00078,CUST-032,2024-08-21,Tape Dispenser,Supplies,13,8.68,0.1,101.56,Completed,East
ORD-00014,CUST-044,2024-09-22,Monitor 27in,Electronics,7,331.55,0,2320.85,Completed,Central
ORD-00101,CUST-018,2025-12-23,Tape Dispenser,Supplies,19,7.81,0.2,118.71,Completed,South
ORD-00047,CUST-045,2025-05-12,Smart Speaker,Electronics,11,43.3,0,476.3,Completed,West
ORD-00148,CUST-046,2025-05-04,Sticky Notes 6pk,Supplies,3,4.88,0,14.64,Completed,Central
ORD-00025,CUST-041,2027-03-11,Pen Pack 12,Supplies,18,6.39,0,115.02,Completed,West
ORD-00048,CUST-024,2024-05-14,Tape Dispenser,Supplies,12,7.32,0.05,83.45,Completed,East
ORD-00146,CUST-945,2025-06-03,USB-C Hub,Electronics,19,54.86,0,1042.34,Pending,East
ORD-00012,CUST-010,2025-11-06,Folders Manila 50pk,Supplies,9,12.26,0.25,82.75,Completed,East
ORD-00086,CUST-042,2025-07-23,Envelopes 100ct,Supplies,11,9.19,0.2,80.87,Completed,East
ORD-00030,CUST-047,2024-04-17,Desk Lamp LED,Furniture,17,37.18,0.2,505.65,Completed,Central
ORD-00091,CUST-025,2025-10-02,Conference Table,Furniture,16,852.33,0,13637.28,Completed,Central
ORD-00032,CUST-023,2025-11-03,Whiteboard 4x3,Furniture,17,98.84,0.15,1428.24,Completed,Central
ORD-00017,CUST-030,2025-08-11,Bookshelf Oak,Furniture,20,209.81,0,4196.2,Completed,Central
ORD-00027,CUST-012,2024-04-23,Smart Speaker,Electronics,17,41.34,0.05,667.64,Completed,West
ORD-00040,CUST-031,2025-04-08,USB-C Hub,Electronics,8,45.28,0,362.24,Completed,East
ORD-00089,CUST-009,2025-10-09,Keyboard Mechanical,Electronics,17,82.92,0.25,1057.23,Completed,East
ORD-00118,CUST-020,2025-05-27,Binder Clips 100ct,Supplies,10,6.71,0,67.1,Completed,Central
ORD-00007,CUST-013,2025-11-21,Keyboard Mechanical,Electronics,4,83.03,0.2,265.7,Completed,East
ORD-00097,CUST-039,2025-09-18,Stapler Heavy Duty,Supplies,18,15.87,0,285.66,Completed,West
ORD-00135,CUST-018,2025-11-16,Conference Table,Furniture,1,820.47,0.05,779.45,Completed,East
ORD-00139,CUST-004,2025-03-13,Ergonomic Chair,Furniture,6,435.51,0.25,1959.8,Completed,East
ORD-00035,CUST-044,2024-09-11,Tablet 10in,Electronics,10,488.0,0.25,3660.0,Completed,South
ORD-00002,CUST-046,2025-03-20,Wireless Mouse,Electronics,4,29.25,0,117.0,Completed,South
ORD-00142,CUST-026,2024-05-19,Bookshelf Oak,Furniture,1,189.92,0.05,180.42,Completed,South
ORD-00141,CUST-046,2025-10-14,Bookshelf Oak,Furniture,11,201.7,0,2218.7,Completed,East
ORD-00063,CUST-020,2025-05-01,Monitor Stand,Furniture,13,42.39,0,551.07,Completed,South
ORD-00081,CUST-034,2024-07-21,Headphones Noise-Cancel,Electronics,11,199.71,0,2196.81,Completed,South
ORD-00029,CUST-022,2025-12-01,Envelopes 100ct,Supplies,5,9.87,0,49.35,Completed,East
ORD-00124,CUST-001,2025-04-07,Folders Manila 50pk,Supplies,13,13.51,0.15,149.29,Completed,West
ORD-00109,CUST-043,2024-05-29,Folders Manila 50pk,Supplies,17,12.98,0,220.66,Pending,East
ORD-00066,CUST-031,2024-01-12,Filing Cabinet,Furniture,15,144.45,0,2166.75,Completed,East
ORD-00077,CUST-046,2024-09-30,Bookshelf Oak,Furniture,18,189.48,0.2,2728.51,Completed,South
ORD-00088,CUST-050,2024-12-20,Monitor 27in,Electronics,15,370.15,0.2,4441.8,Completed,West
ORD-00129,CUST-044,2027-03-16,Tape Dispenser,Supplies,18,7.45,0.1,120.69,Completed,West
ORD-00133,CUST-039,2025-12-14,Whiteboard 4x3,Furniture,8,87.61,0,700.88,Pending,South
ORD-00127,CUST-020,2024-12-30,Wireless Mouse,Electronics,6,32.86,0,197.16,Pending,West
ORD-00065,CUST-018,2025-08-04,Sticky Notes 6pk,Supplies,9,5.14,0.05,43.95,Completed,East
ORD-00056,CUST-021,2027-03-04,Standing Desk,Furniture,13,646.4,0.2,6722.56,Completed,South
ORD-00033,CUST-005,2025-03-11,Ergonomic Chair,Furniture,1,460.12,0,460.12,Completed,East
ORD-00010,CUST-019,2025-02-11,USB-C Hub,Electronics,7,52.05,0,364.35,Completed,South
