entity_id,rating_date,consensus_rating,buy_count,hold_count,sell_count,target_price_mean,target_price_high,target_price_low,currency
AAPL-US,2025-03-01,Buy,14,11,2,5106.92,6383.65,3830.19,USD
MSFT-US,2025-03-01,Buy,10,7,1,3385.13,4231.42,2538.85,USD
GOOGL-US,2025-03-01,Buy,12,7,0,3997.21,4996.51,2997.9,USD
AMZN-US,2025-03-01,Hold,9,10,0,7081.77,8852.21,5311.33,USD
META-US,2025-03-01,Buy,13,6,1,2012.76,2515.95,1509.57,USD
NVDA-US,2025-03-01,Buy,24,10,1,1853.06,2316.32,1389.79,USD
TSM-US,2025-03-01,Buy,24,7,3,29399.68,36749.6,22049.76,TWD
ORCL-US,2025-03-01,Hold,8,9,0,702.0,877.5,526.5,USD
CRM-US,2025-03-01,Buy,23,7,3,322.77,403.46,242.08,USD
ADBE-US,2025-03-01,Buy,17,11,0,160.86,201.07,120.64,USD
JPM-US,2025-03-01,Hold,16,18,1,650.02,812.52,487.51,USD
UNH-US,2025-03-01,Buy,22,10,2,2758.07,3447.58,2068.55,USD
WMT-US,2025-03-01,Buy,10,4,1,1827.71,2284.64,1370.78,USD
XOM-US,2025-03-01,Buy,19,14,1,558.22,697.78,418.67,USD
JNJ-US,2025-03-01,Buy,16,8,0,589.3,736.63,441.98,USD
V-US,2025-03-01,Buy,12,9,1,84.07,105.08,63.05,USD
PG-US,2025-03-01,Buy,17,13,0,345.4,431.75,259.05,USD
HD-US,2025-03-01,Hold,7,7,1,439.15,548.94,329.37,USD
BAC-US,2025-03-01,Buy,18,13,2,369.82,462.28,277.37,USD
KO-US,2025-03-01,Buy,13,6,1,273.9,342.37,205.42,USD
APLE-US,2025-03-01,Hold,6,11,0,58.83,73.54,44.12,USD
DAL-US,2025-03-01,Buy,11,4,1,310.65,388.31,232.98,USD
DELT-TW,2025-03-01,Buy,24,8,3,3742.2,4677.75,2806.65,TWD
GS-US,2025-03-01,Hold,11,14,2,194.8,243.49,146.1,USD
BRK.A-US,2025-03-01,Hold,16,16,2,836.55,1045.69,627.41,USD
NKE-US,2025-03-01,Buy,10,7,0,403.19,503.99,302.39,USD
FDX-US,2025-03-01,Buy,11,7,1,380.59,475.73,285.44,USD
COST-US,2025-03-01,Buy,20,15,0,823.7,1029.62,617.77,USD
ACN-US,2025-03-01,Buy,20,8,0,363.32,454.16,272.49,USD
FIS-US,2025-03-01,Buy,11,6,0,93.49,116.86,70.12,USD
7203-JP,2025-03-01,Hold,15,17,2,270574.2,338217.75,202930.65,JPY
SAP-DE,2025-03-01,Hold,10,10,0,412.85,516.06,309.63,EUR
HSBA-GB,2025-03-01,Hold,6,8,1,321.0,401.25,240.75,GBP
NESN-CH,2025-03-01,Buy,16,13,2,243.91,304.89,182.93,CHF
005930-KR,2025-03-01,Buy,14,4,1,3192668.55,3990835.69,2394501.41,KRW
AZN-GB,2025-03-01,Buy,13,5,0,232.95,291.19,174.71,GBP
SHEL-GB,2025-03-01,Sell,14,12,2,168.84,211.05,126.63,GBP
TTE-FR,2025-03-01,Buy,20,13,0,271.44,339.29,203.58,EUR
NOVO-DK,2025-03-01,Buy,17,14,0,1598.16,1997.7,1198.62,DKK
RY-CA,2025-03-01,Sell,16,15,2,140.28,175.35,105.21,CAD
SNPS-US,2025-03-01,Buy,12,6,0,44.6,55.76,33.45,USD
CDNS-US,2025-03-01,Buy,17,14,0,63.06,78.82,47.29,USD
MCHP-US,2025-03-01,Hold,7,8,0,52.78,65.97,39.58,USD
KEYS-US,2025-03-01,Buy,15,12,0,71.26,89.08,53.45,USD
IT-US,2025-03-01,Buy,11,4,1,43.83,54.78,32.87,USD
PAYC-US,2025-03-01,Buy,14,6,2,15.37,19.22,11.53,USD
DDOG-US,2025-03-01,Buy,12,4,1,16.59,20.74,12.44,USD
SNOW-US,2025-03-01,Hold,8,8,0,44.73,55.91,33.55,USD
PLTR-US,2025-03-01,Buy,10,6,0,39.52,49.4,29.64,USD
COIN-US,2025-03-01,Buy,16,7,1,19.56,24.45,14.67,USD
TGT-US,2025-03-01,Buy,17,15,0,452.95,566.18,339.71,USD
INTU-US,2025-03-01,Buy,16,7,1,203.35,254.18,152.51,USD
SYK-US,2025-03-01,Buy,13,8,1,134.7,168.37,101.02,USD
PANW-US,2025-03-01,Buy,22,7,1,103.33,129.16,77.5,USD
FDS-US,2025-03-01,Buy,20,11,1,5.4,6.75,4.05,USD
