entity_id,fiscal_period_id,fiscal_year,fiscal_period,period_end_date,metric,value,currency,value_usd,source,load_timestamp
AAPL-US,AAPL-US_FY2021_A,2021,FY,2021-09-30,FF_SALES,294254.26,USD,294254.26,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2021_Q1,2021,Q1,2020-12-31,FF_SALES,67542.06,USD,67542.06,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2021_Q2,2021,Q2,2021-03-31,FF_SALES,66003.64,USD,66003.64,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2021_Q3,2021,Q3,2021-06-30,FF_SALES,81241.54,USD,81241.54,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2021_Q4,2021,Q4,2021-09-30,FF_SALES,79467.01,USD,79467.01,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2022_A,2022,FY,2022-09-30,FF_SALES,332047.07,USD,332047.07,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2022_Q1,2022,Q1,2021-12-31,FF_SALES,79129.67,USD,79129.67,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2022_Q2,2022,Q2,2022-03-31,FF_SALES,91831.09,USD,91831.09,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2022_Q3,2022,Q3,2022-06-30,FF_SALES,76963.05,USD,76963.05,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2022_Q4,2022,Q4,2022-09-30,FF_SALES,84123.26,USD,84123.26,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2023_A,2023,FY,2023-09-30,FF_SALES,349005.07,USD,349005.07,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2023_Q1,2023,Q1,2022-12-31,FF_SALES,75080.29,USD,75080.29,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2023_Q2,2023,Q2,2023-03-31,FF_SALES,81463.82,USD,81463.82,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2023_Q3,2023,Q3,2023-06-30,FF_SALES,98174.47,USD,98174.47,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2023_Q4,2023,Q4,2023-09-30,FF_SALES,94286.48,USD,94286.48,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2024_A,2024,FY,2024-09-30,FF_SALES,346941.79,USD,346941.79,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2024_Q1,2024,Q1,2023-12-31,FF_SALES,87976.03,USD,87976.03,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2024_Q2,2024,Q2,2024-03-31,FF_SALES,95456.61,USD,95456.61,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2024_Q3,2024,Q3,2024-06-30,FF_SALES,68175.23,USD,68175.23,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2024_Q4,2024,Q4,2024-09-30,FF_SALES,95333.92,USD,95333.92,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2025_A,2025,FY,2025-09-30,FF_SALES,378037.45,USD,378037.45,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2025_Q1,2025,Q1,2024-12-31,FF_SALES,90372.23,USD,90372.23,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2025_Q2,2025,Q2,2025-03-31,FF_SALES,83237.02,USD,83237.02,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2025_Q3,2025,Q3,2025-06-30,FF_SALES,114197.15,USD,114197.15,FDB_FF,2026-03-04T23:00:00Z
AAPL-US,AAPL-US_FY2025_Q4,2025,Q4,2025-09-30,FF_SALES,90231.05,USD,90231.05,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2021_A,2021,FY,2021-06-30,FF_SALES,186212.23,USD,186212.23,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2021_Q1,2021,Q1,2020-09-30,FF_SALES,48255.77,USD,48255.77,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2021_Q2,2021,Q2,2020-12-31,FF_SALES,44124.69,USD,44124.69,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2021_Q3,2021,Q3,2021-03-31,FF_SALES,47571.7,USD,47571.7,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2021_Q4,2021,Q4,2021-06-30,FF_SALES,46260.08,USD,46260.08,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2022_A,2022,FY,2022-06-30,FF_SALES,196872.07,USD,196872.07,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2022_Q1,2022,Q1,2021-09-30,FF_SALES,54534.45,USD,54534.45,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2022_Q2,2022,Q2,2021-12-31,FF_SALES,43628.32,USD,43628.32,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2022_Q3,2022,Q3,2022-03-31,FF_SALES,46810.87,USD,46810.87,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2022_Q4,2022,Q4,2022-06-30,FF_SALES,51898.42,USD,51898.42,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2023_A,2023,FY,2023-06-30,FF_SALES,211382.31,USD,211382.31,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2023_Q1,2023,Q1,2022-09-30,FF_SALES,59366.69,USD,59366.69,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2023_Q2,2023,Q2,2022-12-31,FF_SALES,53467.69,USD,53467.69,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2023_Q3,2023,Q3,2023-03-31,FF_SALES,56106.89,USD,56106.89,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2023_Q4,2023,Q4,2023-06-30,FF_SALES,42441.04,USD,42441.04,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2024_A,2024,FY,2024-06-30,FF_SALES,210447.93,USD,210447.93,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2024_Q1,2024,Q1,2023-09-30,FF_SALES,55360.05,USD,55360.05,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2024_Q2,2024,Q2,2023-12-31,FF_SALES,50291.77,USD,50291.77,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2024_Q3,2024,Q3,2024-03-31,FF_SALES,53991.47,USD,53991.47,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2024_Q4,2024,Q4,2024-06-30,FF_SALES,50804.64,USD,50804.64,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2025_A,2025,FY,2025-06-30,FF_SALES,211625.33,USD,211625.33,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2025_Q1,2025,Q1,2024-09-30,FF_SALES,58221.89,USD,58221.89,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2025_Q2,2025,Q2,2024-12-31,FF_SALES,52238.8,USD,52238.8,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2025_Q3,2025,Q3,2025-03-31,FF_SALES,52356.95,USD,52356.95,FDB_FF,2026-03-04T23:00:00Z
MSFT-US,MSFT-US_FY2025_Q4,2025,Q4,2025-06-30,FF_SALES,48807.69,USD,48807.69,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2021_A,2021,FY,2021-12-31,FF_SALES,295298.1,USD,295298.1,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2021_Q1,2021,Q1,2021-03-31,FF_SALES,76984.01,USD,76984.01,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2021_Q2,2021,Q2,2021-06-30,FF_SALES,75852.97,USD,75852.97,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2021_Q3,2021,Q3,2021-09-30,FF_SALES,63119.61,USD,63119.61,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2021_Q4,2021,Q4,2021-12-31,FF_SALES,79341.51,USD,79341.51,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2022_A,2022,FY,2022-12-31,FF_SALES,290183.68,USD,290183.68,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2022_Q1,2022,Q1,2022-03-31,FF_SALES,65349.6,USD,65349.6,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2022_Q2,2022,Q2,2022-06-30,FF_SALES,82104.56,USD,82104.56,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2022_Q3,2022,Q3,2022-09-30,FF_SALES,72505.21,USD,72505.21,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2022_Q4,2022,Q4,2022-12-31,FF_SALES,70224.32,USD,70224.32,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2023_A,2023,FY,2023-12-31,FF_SALES,315407.27,USD,315407.27,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2023_Q1,2023,Q1,2023-03-31,FF_SALES,90754.67,USD,90754.67,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2023_Q2,2023,Q2,2023-06-30,FF_SALES,88620.5,USD,88620.5,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2023_Q3,2023,Q3,2023-09-30,FF_SALES,71159.71,USD,71159.71,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2023_Q4,2023,Q4,2023-12-31,FF_SALES,64872.39,USD,64872.39,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2024_A,2024,FY,2024-12-31,FF_SALES,319536.15,USD,319536.15,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2024_Q1,2024,Q1,2024-03-31,FF_SALES,70365.62,USD,70365.62,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2024_Q2,2024,Q2,2024-06-30,FF_SALES,68604.47,USD,68604.47,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2024_Q3,2024,Q3,2024-09-30,FF_SALES,91315.39,USD,91315.39,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2024_Q4,2024,Q4,2024-12-31,FF_SALES,89250.66,USD,89250.66,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2025_A,2025,FY,2025-12-31,FF_SALES,323669.53,USD,323669.53,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2025_Q1,2025,Q1,2025-03-31,FF_SALES,82448.76,USD,82448.76,FDB_FF,2026-03-04T23:00:00Z
GOOGL-US,GOOGL-US_FY2025_Q2,2025,Q2,2025-06-30,FF_SALES,74382.01,USD,74382.01,FDB_FF,2026-03-04T23:00:00Z
