entity_id,estimate_date,metric,value,currency,value_usd,num_analysts,source,load_timestamp
AAPL-US,2026-03-01,FE_SALES_NTM,415407.21,USD,415407.21,36,FDB_FE,2026-03-04T23:00:00Z
MSFT-US,2026-03-01,FE_SALES_NTM,220960.67,USD,220960.67,28,FDB_FE,2026-03-04T23:00:00Z
GOOGL-US,2026-03-01,FE_SALES_NTM,355114.07,USD,355114.07,35,FDB_FE,2026-03-04T23:00:00Z
AMZN-US,2026-03-01,FE_SALES_NTM,545153.19,USD,545153.19,36,FDB_FE,2026-03-04T23:00:00Z
META-US,2026-03-01,FE_SALES_NTM,203911.21,USD,203911.21,30,FDB_FE,2026-03-04T23:00:00Z
NVDA-US,2026-03-01,FE_SALES_NTM,126978.85,USD,126978.85,39,FDB_FE,2026-03-04T23:00:00Z
TSM-US,2026-03-01,FE_SALES_NTM,2283599.59,TWD,70791.59,27,FDB_FE,2026-03-04T23:00:00Z
ORCL-US,2026-03-01,FE_SALES_NTM,58492.91,USD,58492.91,16,FDB_FE,2026-03-04T23:00:00Z
CRM-US,2026-03-01,FE_SALES_NTM,41739.44,USD,41739.44,26,FDB_FE,2026-03-04T23:00:00Z
ADBE-US,2026-03-01,FE_SALES_NTM,22077.18,USD,22077.18,18,FDB_FE,2026-03-04T23:00:00Z
JPM-US,2026-03-01,FE_SALES_NTM,158877.05,USD,158877.05,31,FDB_FE,2026-03-04T23:00:00Z
UNH-US,2026-03-01,FE_SALES_NTM,436054.0,USD,436054.0,35,FDB_FE,2026-03-04T23:00:00Z
WMT-US,2026-03-01,FE_SALES_NTM,653927.55,USD,653927.55,41,FDB_FE,2026-03-04T23:00:00Z
XOM-US,2026-03-01,FE_SALES_NTM,353722.81,USD,353722.81,42,FDB_FE,2026-03-04T23:00:00Z
JNJ-US,2026-03-01,FE_SALES_NTM,82630.41,USD,82630.41,13,FDB_FE,2026-03-04T23:00:00Z
V-US,2026-03-01,FE_SALES_NTM,34941.87,USD,34941.87,18,FDB_FE,2026-03-04T23:00:00Z
PG-US,2026-03-01,FE_SALES_NTM,72914.48,USD,72914.48,13,FDB_FE,2026-03-04T23:00:00Z
HD-US,2026-03-01,FE_SALES_NTM,179441.71,USD,179441.71,35,FDB_FE,2026-03-04T23:00:00Z
BAC-US,2026-03-01,FE_SALES_NTM,110160.64,USD,110160.64,36,FDB_FE,2026-03-04T23:00:00Z
KO-US,2026-03-01,FE_SALES_NTM,52563.47,USD,52563.47,24,FDB_FE,2026-03-04T23:00:00Z
APLE-US,2026-03-01,FE_SALES_NTM,1634.65,USD,1634.65,11,FDB_FE,2026-03-04T23:00:00Z
DAL-US,2026-03-01,FE_SALES_NTM,68533.74,USD,68533.74,17,FDB_FE,2026-03-04T23:00:00Z
DELT-TW,2026-03-01,FE_SALES_NTM,418748.95,TWD,12981.22,27,FDB_FE,2026-03-04T23:00:00Z
GS-US,2026-03-01,FE_SALES_NTM,55277.86,USD,55277.86,28,FDB_FE,2026-03-04T23:00:00Z
BRK.A-US,2026-03-01,FE_SALES_NTM,439914.68,USD,439914.68,27,FDB_FE,2026-03-04T23:00:00Z
NKE-US,2026-03-01,FE_SALES_NTM,51389.17,USD,51389.17,14,FDB_FE,2026-03-04T23:00:00Z
FDX-US,2026-03-01,FE_SALES_NTM,96657.43,USD,96657.43,17,FDB_FE,2026-03-04T23:00:00Z
