entity_id,estimate_date,period_type,eps_mean,eps_high,eps_low,num_analysts,currency
AAPL-US,2025-03-01,NTM,4.67,5.37,3.97,26,USD
AAPL-US,2025-03-01,FY1,4.9,5.64,4.17,26,USD
AAPL-US,2025-03-01,FY2,5.23,6.01,4.45,26,USD
MSFT-US,2025-03-01,NTM,12.76,14.67,10.85,21,USD
MSFT-US,2025-03-01,FY1,13.4,15.41,11.39,21,USD
MSFT-US,2025-03-01,FY2,14.29,16.43,12.15,21,USD
GOOGL-US,2025-03-01,NTM,9.84,11.32,8.36,28,USD
GOOGL-US,2025-03-01,FY1,10.33,11.88,8.78,28,USD
GOOGL-US,2025-03-01,FY2,11.02,12.67,9.37,28,USD
AMZN-US,2025-03-01,NTM,10.16,11.68,8.64,25,USD
AMZN-US,2025-03-01,FY1,10.67,12.27,9.07,25,USD
AMZN-US,2025-03-01,FY2,11.38,13.09,9.67,25,USD
META-US,2025-03-01,NTM,6.88,7.91,5.85,29,USD
META-US,2025-03-01,FY1,7.22,8.3,6.14,29,USD
META-US,2025-03-01,FY2,7.71,8.87,6.55,29,USD
NVDA-US,2025-03-01,NTM,6.47,7.44,5.5,28,USD
NVDA-US,2025-03-01,FY1,6.79,7.81,5.77,28,USD
NVDA-US,2025-03-01,FY2,7.25,8.34,6.16,28,USD
TSM-US,2025-03-01,NTM,14.43,16.59,12.27,23,TWD
TSM-US,2025-03-01,FY1,15.15,17.42,12.88,23,TWD
TSM-US,2025-03-01,FY2,16.16,18.58,13.74,23,TWD
ORCL-US,2025-03-01,NTM,4.63,5.32,3.94,33,USD
ORCL-US,2025-03-01,FY1,4.86,5.59,4.13,33,USD
ORCL-US,2025-03-01,FY2,5.19,5.97,4.41,33,USD
CRM-US,2025-03-01,NTM,14.03,16.13,11.93,28,USD
CRM-US,2025-03-01,FY1,14.73,16.94,12.52,28,USD
CRM-US,2025-03-01,FY2,15.71,18.07,13.35,28,USD
ADBE-US,2025-03-01,NTM,13.4,15.41,11.39,24,USD
ADBE-US,2025-03-01,FY1,14.07,16.18,11.96,24,USD
ADBE-US,2025-03-01,FY2,15.01,17.26,12.76,24,USD
JPM-US,2025-03-01,NTM,19.03,21.88,16.18,20,USD
JPM-US,2025-03-01,FY1,19.98,22.98,16.98,20,USD
JPM-US,2025-03-01,FY2,21.31,24.51,18.11,20,USD
UNH-US,2025-03-01,NTM,7.99,9.19,6.79,26,USD
UNH-US,2025-03-01,FY1,8.39,9.65,7.13,26,USD
UNH-US,2025-03-01,FY2,8.95,10.29,7.61,26,USD
WMT-US,2025-03-01,NTM,4.58,5.27,3.89,18,USD
WMT-US,2025-03-01,FY1,4.81,5.53,4.09,18,USD
WMT-US,2025-03-01,FY2,5.13,5.9,4.36,18,USD
XOM-US,2025-03-01,NTM,9.85,11.33,8.37,28,USD
XOM-US,2025-03-01,FY1,10.34,11.89,8.79,28,USD
XOM-US,2025-03-01,FY2,11.03,12.68,9.38,28,USD
JNJ-US,2025-03-01,NTM,10.28,11.82,8.74,17,USD
JNJ-US,2025-03-01,FY1,10.79,12.41,9.17,17,USD
JNJ-US,2025-03-01,FY2,11.51,13.24,9.78,17,USD
V-US,2025-03-01,NTM,16.55,19.03,14.07,22,USD
V-US,2025-03-01,FY1,17.38,19.99,14.77,22,USD
V-US,2025-03-01,FY2,18.54,21.32,15.76,22,USD
PG-US,2025-03-01,NTM,7.02,8.07,5.97,21,USD
PG-US,2025-03-01,FY1,7.37,8.48,6.26,21,USD
PG-US,2025-03-01,FY2,7.86,9.04,6.68,21,USD
HD-US,2025-03-01,NTM,6.52,7.5,5.54,12,USD
HD-US,2025-03-01,FY1,6.85,7.88,5.82,12,USD
HD-US,2025-03-01,FY2,7.3,8.39,6.21,12,USD
BAC-US,2025-03-01,NTM,13.06,15.02,11.1,29,USD
BAC-US,2025-03-01,FY1,13.71,15.77,11.65,29,USD
BAC-US,2025-03-01,FY2,14.63,16.82,12.44,29,USD
KO-US,2025-03-01,NTM,4.23,4.86,3.6,20,USD
KO-US,2025-03-01,FY1,4.44,5.11,3.77,20,USD
KO-US,2025-03-01,FY2,4.74,5.45,4.03,20,USD
APLE-US,2025-03-01,NTM,6.55,7.53,5.57,25,USD
APLE-US,2025-03-01,FY1,6.88,7.91,5.85,25,USD
APLE-US,2025-03-01,FY2,7.34,8.44,6.24,25,USD
DAL-US,2025-03-01,NTM,5.27,6.06,4.48,10,USD
DAL-US,2025-03-01,FY1,5.53,6.36,4.7,10,USD
DAL-US,2025-03-01,FY2,5.9,6.79,5.02,10,USD
DELT-TW,2025-03-01,NTM,13.43,15.44,11.42,22,TWD
DELT-TW,2025-03-01,FY1,14.1,16.21,11.98,22,TWD
DELT-TW,2025-03-01,FY2,15.04,17.3,12.78,22,TWD
GS-US,2025-03-01,NTM,19.62,22.56,16.68,25,USD
GS-US,2025-03-01,FY1,20.6,23.69,17.51,25,USD
GS-US,2025-03-01,FY2,21.97,25.27,18.67,25,USD
BRK.A-US,2025-03-01,NTM,17.7,20.36,15.04,29,USD
BRK.A-US,2025-03-01,FY1,18.59,21.38,15.8,29,USD
BRK.A-US,2025-03-01,FY2,19.82,22.79,16.85,29,USD
NKE-US,2025-03-01,NTM,5.58,6.42,4.74,12,USD
NKE-US,2025-03-01,FY1,5.86,6.74,4.98,12,USD
NKE-US,2025-03-01,FY2,6.25,7.19,5.31,12,USD
FDX-US,2025-03-01,NTM,9.96,11.45,8.47,22,USD
FDX-US,2025-03-01,FY1,10.46,12.03,8.89,22,USD
FDX-US,2025-03-01,FY2,11.16,12.83,9.49,22,USD
COST-US,2025-03-01,NTM,3.74,4.3,3.18,21,USD
COST-US,2025-03-01,FY1,3.93,4.52,3.34,21,USD
COST-US,2025-03-01,FY2,4.19,4.82,3.56,21,USD
ACN-US,2025-03-01,NTM,12.9,14.84,10.96,35,USD
ACN-US,2025-03-01,FY1,13.55,15.58,11.52,35,USD
ACN-US,2025-03-01,FY2,14.45,16.62,12.28,35,USD
FIS-US,2025-03-01,NTM,6.22,7.15,5.29,29,USD
FIS-US,2025-03-01,FY1,6.53,7.51,5.55,29,USD
FIS-US,2025-03-01,FY2,6.97,8.02,5.92,29,USD
7203-JP,2025-03-01,NTM,5.38,6.19,4.57,14,JPY
7203-JP,2025-03-01,FY1,5.65,6.5,4.8,14,JPY
7203-JP,2025-03-01,FY2,6.03,6.93,5.13,14,JPY
SAP-DE,2025-03-01,NTM,9.79,11.26,8.32,35,EUR
SAP-DE,2025-03-01,FY1,10.28,11.82,8.74,35,EUR
SAP-DE,2025-03-01,FY2,10.96,12.6,9.32,35,EUR
HSBA-GB,2025-03-01,NTM,20.77,23.89,17.65,28,GBP
HSBA-GB,2025-03-01,FY1,21.81,25.08,18.54,28,GBP
HSBA-GB,2025-03-01,FY2,23.26,26.75,19.77,28,GBP
NESN-CH,2025-03-01,NTM,8.1,9.31,6.88,15,CHF
NESN-CH,2025-03-01,FY1,8.51,9.79,7.23,15,CHF
NESN-CH,2025-03-01,FY2,9.07,10.43,7.71,15,CHF
005930-KR,2025-03-01,NTM,4.19,4.82,3.56,34,KRW
005930-KR,2025-03-01,FY1,4.4,5.06,3.74,34,KRW
005930-KR,2025-03-01,FY2,4.69,5.39,3.99,34,KRW
AZN-GB,2025-03-01,NTM,4.26,4.9,3.62,28,GBP
AZN-GB,2025-03-01,FY1,4.47,5.14,3.8,28,GBP
AZN-GB,2025-03-01,FY2,4.77,5.49,4.05,28,GBP
SHEL-GB,2025-03-01,NTM,4.42,5.08,3.76,25,GBP
SHEL-GB,2025-03-01,FY1,4.64,5.34,3.94,25,GBP
SHEL-GB,2025-03-01,FY2,4.95,5.69,4.21,25,GBP
TTE-FR,2025-03-01,NTM,3.01,3.46,2.56,24,EUR
TTE-FR,2025-03-01,FY1,3.16,3.63,2.69,24,EUR
TTE-FR,2025-03-01,FY2,3.37,3.88,2.86,24,EUR
NOVO-DK,2025-03-01,NTM,7.24,8.33,6.15,26,DKK
NOVO-DK,2025-03-01,FY1,7.6,8.74,6.46,26,DKK
NOVO-DK,2025-03-01,FY2,8.11,9.33,6.89,26,DKK
RY-CA,2025-03-01,NTM,23.19,26.67,19.71,28,CAD
RY-CA,2025-03-01,FY1,24.35,28.0,20.7,28,CAD
RY-CA,2025-03-01,FY2,25.97,29.87,22.07,28,CAD
SNPS-US,2025-03-01,NTM,6.62,7.61,5.63,28,USD
SNPS-US,2025-03-01,FY1,6.95,7.99,5.91,28,USD
SNPS-US,2025-03-01,FY2,7.41,8.52,6.3,28,USD
CDNS-US,2025-03-01,NTM,4.12,4.74,3.5,31,USD
CDNS-US,2025-03-01,FY1,4.33,4.98,3.68,31,USD
CDNS-US,2025-03-01,FY2,4.61,5.3,3.92,31,USD
MCHP-US,2025-03-01,NTM,6.0,6.9,5.1,31,USD
